Date,MARA,RIOT,SMCI,SOFI,RIVN
2022-09-19,13102600,10978900,10360000,30714100,18345500.0
2022-09-20,10026000,8247800,7407000,27278200,17513200.0
2022-09-21,21457100,13734200,5878000,36073900,13975000.0
2022-09-22,10893900,8953300,5417000,41535300,13544200.0
2022-09-23,16445100,8991800,6422000,40071900,16238500.0
2022-09-26,13707100,10034200,4331000,65463200,11315900.0
2022-09-27,19299400,12296100,2847000,35622200,11482000.0
2022-09-28,19269000,10178400,3567000,29843200,11277400.0
2022-09-29,12878300,8883300,2531000,56776400,16987900.0
2022-09-30,20135100,12754100,5652000,33884400,12381000.0
2022-10-03,16559000,9449400,4566000,33619400,13778400.0
2022-10-04,22364700,12475400,5597000,37930500,29058700.0
2022-10-05,16236100,9076000,6562000,36209300,15778900.0
2022-10-06,16076200,9599100,3981000,28449200,17266500.0
2022-10-07,14869400,7812400,4738000,27856200,22803600.0
2022-10-10,9728000,5396300,3812000,22211500,26171500.0
2022-10-11,12125900,7776100,3596000,35828900,20802800.0
2022-10-12,10334500,8161800,4438000,26339800,14040200.0
2022-10-13,19672200,12928100,5678000,32629000,16135000.0
2022-10-14,15612000,9923400,3711000,35776200,22520600.0
2022-10-17,19014800,7718500,3521000,33347900,14050600.0
2022-10-18,16526600,8974900,3448000,37401900,13668100.0
2022-10-19,13156300,8018300,2617000,35412300,10644900.0
2022-10-20,11439800,6953300,17913000,30718900,10633200.0
2022-10-21,14830700,7585200,9935000,33980000,9941800.0
2022-10-24,17318000,9463600,5167000,32703200,11197700.0
2022-10-25,24644600,14727300,6506000,49264000,18931400.0
2022-10-26,28316200,19476300,4006000,37510600,11335900.0
2022-10-27,17465400,11737600,5358000,26942700,8968100.0
2022-10-28,17732600,10109500,4890000,28751000,8410900.0
2022-10-31,14695100,7764000,6475000,61549200,23372500.0
2022-11-01,14802500,8151200,9145000,159097200,10366100.0
2022-11-02,22105700,13266200,38508000,106803800,10788300.0
2022-11-03,16103400,11348000,11733000,55484100,8075400.0
2022-11-04,25150800,16705800,11962000,53554200,8159200.0
2022-11-07,14330300,8103700,6215000,39915100,7414000.0
2022-11-08,32449600,27140200,7400000,48009700,11768900.0
2022-11-09,25489200,22550900,5952000,45924000,28081300.0
2022-11-10,28321000,16682100,7966000,69817600,29299900.0
2022-11-11,21901900,18159100,13950000,84353300,21051800.0
2022-11-14,12472600,10754400,9173000,47833200,12608900.0
2022-11-15,14864500,10610600,11979000,59806400,19268200.0
2022-11-16,18481400,13186100,9814000,43267800,10069200.0
2022-11-17,16515600,9252100,10298000,34036700,7890900.0
2022-11-18,23126700,9665900,9333000,36633900,13130200.0
2022-11-21,25771800,18020100,5267000,99355000,13508600.0
2022-11-22,23179200,13866500,7020000,76694100,10770200.0
2022-11-23,18227800,17725300,8899000,58395300,9511300.0
2022-11-25,7127000,7243800,6418000,28016500,3907600.0
2022-11-28,14251400,10621000,9647000,46991100,7746900.0
2022-11-29,12013000,5427700,9169000,40676700,6705700.0
2022-11-30,23052500,10902500,12409000,49235500,18375900.0
2022-12-01,16155000,7730600,8106000,34842000,12056800.0
2022-12-02,21987600,8315300,8437000,23866400,8879100.0
2022-12-05,24158600,12616500,8409000,28384800,7560400.0
2022-12-06,15676100,8357900,9917000,41048400,13170700.0
2022-12-07,16775100,7975600,6674000,21933400,8877300.0
2022-12-08,16147900,8121300,10308000,19767400,9582500.0
2022-12-09,21330300,6525100,6624000,16804200,11334500.0
2022-12-12,14076600,6457800,7253000,23353200,19596900.0
2022-12-13,32685400,12270500,8398000,33682400,20597300.0
2022-12-14,24054100,10348400,10121000,68775700,14213100.0
2022-12-15,16927400,9195600,16608000,37157400,13296000.0
2022-12-16,21250200,16122100,13279000,31419300,58554600.0
2022-12-19,11155200,7043300,11343000,27122400,18825200.0
2022-12-20,12919700,7193500,33385000,34033400,15114700.0
2022-12-21,14757200,6217800,84309000,24848900,13435000.0
2022-12-22,14615700,6059600,12991000,30665900,24271200.0
2022-12-23,8600300,4805300,9660000,19435300,18952000.0
2022-12-27,12099400,6356100,7902000,24110700,21663000.0
2022-12-28,9560500,6616600,8998000,35043300,20967700.0
2022-12-29,11226200,6773800,8643000,33261900,22063000.0
